frame,marker_id,tx,ty,tz,pitch,yaw,roll,input_angle,err
1,2,-0.092819014974986,-0.0556043195022724,0.1905591392996877,-173.20893091345408,2.1918423155439326,146.54499861474338,0.0,2.1918423155439326
5,2,-0.0928885960739445,-0.0557289919826563,0.1908048759780984,-173.31859206646683,2.182265166144937,146.53384063584153,1.0,1.182265166144937
7,2,-0.092475776074728,-0.0562107761731605,0.1911194115185538,-173.52632334709972,2.136822230712048,146.80228429802747,2.0,0.13682223071204813
12,2,-0.0872034585509198,-0.0592896417050418,0.190851384128222,-173.86553502649835,2.991806466215216,148.25478982067418,3.0,0.008193533784783824
18,2,-0.081943420840564,-0.0617050570457042,0.1897037323705552,-173.9251994802801,3.611259371461104,149.7408431343615,4.0,0.3887406285388959
24,2,-0.0677090542009556,-0.0690172157013967,0.1903677273866099,-174.4608892261368,3.347271854804715,154.67006906977866,5.0,1.6527281451952849
40,2,-0.0311213730554863,-0.0826947634321589,0.1959718809583757,-176.44544747559058,4.781897541292372,165.8065739011558,6.0,1.2181024587076283
43,2,-0.0278541644051083,-0.0812433705244325,0.1913536350382483,-173.48662014779487,4.053416522157762,166.97406513534193,7.0,2.946583477842238
45,2,-0.0215231205357169,-0.0834609429050566,0.1940032354043122,-174.78627070053355,3.103517778476786,169.26365957581854,8.0,4.896482221523215
48,2,-0.0107553938818822,-0.0853891968944126,0.1951618563545466,-175.56270046652315,2.9148768843865795,172.51414987509875,9.0,6.0851231156134205
49,2,-0.0051753962369667,-0.0847333129308076,0.1926395987958409,-174.37408269030357,2.473807762134806,174.42760923122034,10.0,7.526192237865194
50,2,-0.0046124102222778,-0.0843291033436863,0.1915893033719106,-173.58941549483671,2.587689265428097,174.4270258628262,11.0,8.412310734571903
51,2,0.0004553140707964,-0.0842461914537002,0.1907634036482884,-173.17419963550054,1.9338701292668727,176.18570789362786,12.0,10.066129870733127
52,2,0.0004963527742722,-0.0840858773528148,0.1902817792901245,-172.96792836744245,1.8192773309402648,176.26483081606784,13.0,11.180722669059735
