frame,tx,ty,tz,pitch,yaw,roll
1,-104.99758979878968,-56.59990891452832,232.26677599702396,-119.59166830811638,-11.824427181242546,-33.5390306021312
2,-105.00931732481979,-56.679133827197234,232.38274674002957,-119.51596926528781,-11.789213198648314,-33.512913431763195
3,-104.89474468437987,-56.617596138376165,232.183809026617,-119.6128520373126,-11.79389138488861,-33.543857901248074
4,-104.79678100605004,-56.68764493606716,232.2392304091393,-119.65995103852694,-11.778953895767131,-33.49444468355965
5,-105.03246550314906,-56.70010727331153,232.3621119273238,-119.49631727200314,-11.887196480742412,-33.585571496789356
6,-104.86604473811292,-56.671503652405676,232.27362543866738,-119.70205748590533,-11.867981866859001,-33.521185991375646
7,-104.30564240110189,-57.06846417552595,232.25006686760236,-119.64980967763236,-11.795640245109867,-33.33795736983092
8,-103.28528242260057,-57.57388697686121,231.8458794043723,-119.47737289741426,-12.061986717770976,-33.18034919965946
9,-102.40624959174559,-58.04709102014329,231.75176668129646,-119.58946026815752,-12.084613814636215,-32.88554668688909
10,-101.75034211963901,-58.56332584466623,231.6086670968519,-119.2808567994051,-12.111999792006749,-32.70685618208395
11,-99.84210003926975,-59.615300469812134,231.29211866358884,-119.26234541655971,-12.36656334644097,-32.24191736979618
12,-98.78945494389612,-60.38676387624695,231.18772603838568,-118.90912043756575,-12.589465738712663,-32.00224763115856
13,-97.50014000425543,-60.93189947753767,230.86663010261762,-118.95864494458883,-12.817295360027991,-31.55716436908704
14,-96.22766191431145,-61.596096155256724,230.71549502744497,-118.95987679748004,-12.620664988657431,-31.228606161872303
15,-95.62302454117773,-61.911595734720215,230.50395594243727,-118.87815336533141,-12.813425033095662,-31.110430815895956
16,-95.1127635260151,-62.132520132998145,230.3002960890657,-118.80935804870788,-12.78961539454926,-30.88189385021395
17,-93.94277942012774,-62.654465906401974,229.77866027999676,-118.77933861075114,-12.971325154158079,-30.710636806622947
18,-93.24279079104411,-63.1125013591583,229.59675632935105,-118.49180486740875,-12.880649321193614,-30.550275976523885
19,-93.21068106447439,-63.148445863061625,229.7133081706865,-118.60958184510422,-12.82969862935497,-30.550919124822837
20,-91.33102711425457,-64.19321299527886,229.69326847461238,-118.61751830090091,-12.70040100914199,-30.01615178892117
21,-87.70522646407328,-66.22159433486775,230.0393374250598,-118.7751249725282,-12.476170322890294,-28.841560934398554
22,-82.29068280703217,-68.85787463570239,229.73277323680932,-118.74260167560966,-11.945910585213397,-27.256894463140096
23,-78.79857816964672,-69.99710922688092,228.6428698379409,-118.75129139343366,-11.729584800651823,-26.27831135841155
24,-76.74371016416609,-70.8087508287731,228.31153890894626,-118.79967163737085,-11.531792076233641,-25.689339677609347
25,-71.56357405091074,-73.23625320591523,228.9148239105935,-118.93031314591344,-10.690186398605727,-24.095374219978865
26,-68.47673204310594,-74.04056605897019,227.98931534776804,-118.98249343195606,-10.510150334668822,-23.314196709616198
27,-67.56789446141693,-74.29465789726578,227.60073333526023,-118.68820675181881,-10.341021347839726,-23.033981570533015
28,-66.15206314344938,-74.95207324682036,228.144850079031,-119.07016027086715,-9.799599571079526,-22.494481086962715
29,-64.3100414086785,-75.49119159164059,228.1432313055807,-119.33806282116905,-9.191539015278344,-21.803100006722886
30,-63.23006394364001,-75.89382581728853,228.02922081145303,-119.19751905104833,-9.00587195548572,-21.612095339901725
31,-62.557020730139165,-76.04442716980707,228.14292378358303,-119.45753908092485,-8.722105490417215,-21.289847834726825
32,-58.679941042514315,-77.27515972820362,228.03732708400145,-119.48997357595725,-8.346469290214278,-20.210711271283817
33,-59.41159109133727,-77.25352609419204,228.52534354162856,-119.61989487066799,-8.480048258783436,-20.31338242303014
34,-61.8769029170881,-76.4389631853833,228.2483182334207,-119.251302696817,-8.526028700274601,-21.11947593945702
35,-61.78551757616483,-76.36196721164907,228.2371345892865,-119.50235208460221,-8.45100842191795,-21.155106783220223
36,-59.95700307911015,-77.2903949644166,229.9920370337897,-120.14351275841632,-8.727932270739018,-20.70243426528586
37,-51.283122012454506,-79.76512098480337,229.08925194347435,-120.14956624836017,-8.499613605246035,-18.288750598822144
38,-43.75232002682319,-81.7710314219173,228.904118000258,-120.26853394421617,-8.198383732898277,-16.130720142279888
39,-42.87960409518751,-82.10915974201389,229.07200643526963,-120.06583948738631,-8.098445955180555,-15.993784731497703
40,-35.891714203795104,-83.6938308699977,228.75858531703167,-120.10556074773093,-8.985619585958007,-14.256374178690615
41,-33.719127127861604,-83.85610818925419,227.9861152914209,-120.04097322477271,-8.273392330805976,-13.501086366826561
42,-33.505762975959705,-83.8820809237908,228.0623793386164,-120.19441215612943,-8.469413601205746,-13.523980813575214
43,-32.51082818690142,-84.06439773860332,227.98962667430675,-120.19943934540154,-7.536835908524315,-13.003799949107323
44,-29.098861100890435,-85.15866581556627,229.77842305577008,-120.78581320739342,-6.4632959242996355,-12.156225859340172
45,-24.585224017071987,-85.63930081207312,228.86866858638228,-120.67230616435766,-5.237740401921031,-10.743623062318235
46,-20.142221130722028,-86.50282694691285,229.4856488612096,-120.75661576172918,-4.627763611813084,-9.450207102135122
47,-16.84173421681137,-86.53199561770313,228.25848134854976,-120.79097069766055,-4.060342044979406,-8.451662876120146
48,-12.499544932791396,-87.27759086135626,228.82141458465358,-120.70899169155788,-3.3888222593630575,-7.3346030559043776
49,-6.256613160775201,-87.65757971885485,228.39800885023175,-120.76363548083768,-2.1962215507164746,-5.433387715977212
50,-5.768101068002652,-87.68672336501825,228.18448403889568,-120.60298859755159,-2.35940780481146,-5.4470311065538075
51,0.060030066621532305,-87.83248464371829,227.8819213898838,-120.79265160140548,-1.254843113842404,-3.689238273618468
52,0.07735674237073663,-87.87745413091321,227.67908014969996,-120.59954525737602,-1.2931220913825419,-3.6768786763932746
53,0.6297999812452995,-87.97729072873211,227.7776127188902,-120.58138261742477,-1.4668892915671319,-3.6497220697200445
54,2.212273952966112,-88.1955172161923,228.2729360463003,-120.67095038639316,-1.2313887011896967,-3.2953790266436442
55,5.608268289118888,-88.30081425354162,228.2199138534323,-120.60977606061955,-0.5207331761459022,-2.2636489930182178
56,12.34343815548133,-88.25601178092458,227.75079073741855,-120.54773353656843,0.36002908911423137,-0.4538172136473918
57,14.781474219710624,-88.29798047449364,227.9206614930612,-120.48290239829052,0.5528187485544589,0.20230553837853554
58,20.03908044672578,-88.51496101618709,228.77335652199775,-120.50118620714169,1.0678240459685227,1.460649457612603
59,24.292280195156042,-87.81877888199782,227.30442562181824,-120.0904536620897,1.5619980549751615,2.777685991981859
60,26.67472066469931,-87.79841808380606,227.65171193259272,-120.0450353741842,2.046423735705976,3.486438442212274
61,31.186144591234676,-87.7940271339691,228.88352356215765,-120.23853923289724,2.0758089564112363,4.490228579326239
62,33.42275780075512,-83.83733566720592,223.35885971554012,-123.03249425587362,-1.297819873008776,5.93618464509812
63,35.60317197726136,-84.29411096580029,224.23293640791096,-122.2945486762667,-1.522899692400273,6.3735177411238055
64,39.4155582660313,-84.91985234643923,226.11185879697172,-121.55387018633151,-1.5544364784536575,7.444961422595552
65,41.27349376248833,-83.46696491394604,224.23846572910458,-122.35899193705995,-1.6111958572579401,8.147235927908271
66,43.47240005296657,-82.71904828370998,223.72578652546366,-122.69618526087167,-1.2565712706089502,8.896210778002816
67,46.18237591408555,-82.03915289217248,223.49552693513763,-122.77378035942851,-0.8888266027074214,9.860009902645832
68,46.80765278654295,-81.87148671715325,223.39995123128554,-122.83877946838574,-1.065730704087117,9.989547457234309
69,48.49938518426516,-82.45328788246677,224.56339920166673,-121.97239536725387,-1.662266674752448,10.12969397846176
70,51.03561810976368,-81.63655801736714,224.1815416062551,-122.14190837343925,-1.4505375846636848,10.93663324793453
71,53.72351640476043,-82.30410389080266,226.1408641818285,-121.40532159432878,-1.7303515746633036,11.333314961102193
72,59.12560793115928,-80.67022238734373,225.66953686987208,-121.63050221320914,-1.6299511318095696,12.930865475049849
73,62.21395429593302,-82.53202927005913,229.14229967685,-119.42790576710067,-2.717813865118011,13.204881764162737
74,67.9593578686745,-77.31650900142247,224.2953086408819,-122.18647767820613,-1.1262115129611021,15.888796946340928
75,70.61378938637272,-76.65662610929002,224.47505141177626,-121.89092031343962,-1.4388475358841362,16.725617858483677
76,72.1643141045711,-74.66182447734926,222.52761836827082,-123.14341141724893,-0.9797463657340167,17.815695788966355
77,72.66250412402536,-74.73236488369763,222.8024619253519,-122.86085912992276,-0.9735863763679239,17.74773582110535
78,72.81286088323934,-74.89785040626114,223.01609572613887,-122.71040115767667,-1.0593704233924452,17.646873468685904
79,74.14246245898057,-74.56674321906144,223.09563867698714,-122.45941487520629,-1.4400912109103068,18.002581004513768
80,74.55400052479179,-74.07458071554305,222.76659558896088,-122.8710421471698,-1.0252706059788077,18.263324511208392
81,74.84343103464893,-74.01902429974618,222.781619381155,-122.8572529435881,-0.8088132994483671,18.377225274109392
82,76.08767912766218,-73.53072277454378,222.8367561543581,-122.91731300739686,-1.1472066748492706,18.909388338161275
83,77.2911371068632,-73.6540633657099,223.54113490324139,-122.52359660271937,-1.6547626495405845,18.7551528235303
84,78.09483335532934,-72.96387800626415,222.99991090509766,-122.70451181191765,-1.3565226151445702,19.263917707192753
85,80.91891657534913,-72.50676398474775,223.746217807787,-122.30777374837349,-1.9183962401606895,19.8666148520665
86,82.62876602349057,-71.1521873787824,222.84111232965557,-122.84449696265371,-1.301076364174801,20.717795620871804
87,82.81337465786443,-71.37024387829415,223.09585045321387,-122.5198326795533,-1.5623193974468583,20.792509952514326
88,84.47064111336182,-70.32173670638284,222.62805328819547,-122.78970449348348,-1.1604935981518099,21.342693951214624
89,85.90150994947247,-69.93398124814559,223.07516336668837,-122.76521415729805,-1.4131574121166866,21.53653103469416
90,89.14581952203528,-69.7764718337914,224.3749475710838,-121.77007467759239,-2.0176166380713765,22.0897136510211
91,90.1931301927999,-68.37540044689653,223.0070406170723,-122.3496932146848,-1.3467307407394218,22.91178784651782
92,91.82073459053314,-67.80955162748067,223.2854960542219,-122.19372953606337,-1.5387822705080392,23.329194591663985
93,95.85907334300508,-66.05481286300522,223.4115016255601,-122.09493228854981,-1.5860477503896049,24.55692644002672
94,98.40180281209142,-65.59094605442431,224.15291312918356,-121.4293006953469,-2.3343674848785576,24.80513351239367
95,98.84948696737102,-63.83829932883035,222.08416996282833,-122.27151643034328,-1.644974329954301,25.82103694026582
96,99.37403836918556,-63.72550361575002,222.34427836499435,-122.2184612756773,-1.8270101524147517,25.81771799198714
