frame,yaw,input_angle,pred_angle
1,-10.361512278698466,120.0,116.05822141519182
1,-10.361512278698466,120.0,116.05822141519182
1,-10.361512278698466,120.0,116.05822141519182
1,-10.361512278698466,120.0,116.05822141519182
2,-10.342570824779424,120.0,115.97041702539471
2,-10.342570824779424,120.0,115.97041702539471
2,-10.342570824779424,120.0,115.97041702539471
2,-10.342570824779424,120.0,115.97041702539471
3,-10.320186095932542,119.0,115.86665110195639
3,-10.320186095932542,119.0,115.86665110195639
3,-10.320186095932542,119.0,115.86665110195639
3,-10.320186095932542,119.0,115.86665110195639
4,-10.3106447681577,119.0,115.82242163220687
4,-10.3106447681577,119.0,115.82242163220687
4,-10.3106447681577,119.0,115.82242163220687
4,-10.3106447681577,119.0,115.82242163220687
5,-10.241043483544116,119.0,115.499780173388
5,-10.241043483544116,119.0,115.499780173388
5,-10.241043483544116,119.0,115.499780173388
5,-10.241043483544116,119.0,115.499780173388
6,-10.385478463319904,119.0,116.16931828375556
6,-10.385478463319904,119.0,116.16931828375556
6,-10.385478463319904,119.0,116.16931828375556
6,-10.385478463319904,119.0,116.16931828375556
7,-10.279835885158212,118.0,115.6796049728489
7,-10.279835885158212,118.0,115.6796049728489
7,-10.279835885158212,118.0,115.6796049728489
7,-10.279835885158212,118.0,115.6796049728489
8,-10.411465442274809,118.0,116.28978268102718
8,-10.411465442274809,118.0,116.28978268102718
8,-10.411465442274809,118.0,116.28978268102718
8,-10.411465442274809,118.0,116.28978268102718
9,-10.516854928002832,118.0,116.77832276485235
9,-10.516854928002832,118.0,116.77832276485235
9,-10.516854928002832,118.0,116.77832276485235
9,-10.516854928002832,118.0,116.77832276485235
10,-10.66331190171892,117.0,117.45723396478633
10,-10.66331190171892,117.0,117.45723396478633
10,-10.66331190171892,117.0,117.45723396478633
10,-10.66331190171892,117.0,117.45723396478633
11,-10.804012588460578,117.0,118.10946150741253
11,-10.804012588460578,117.0,118.10946150741253
11,-10.804012588460578,117.0,118.10946150741253
11,-10.804012588460578,117.0,118.10946150741253
12,-10.946125288320085,117.0,118.76823453227723
12,-10.946125288320085,117.0,118.76823453227723
12,-10.946125288320085,117.0,118.76823453227723
12,-10.946125288320085,117.0,118.76823453227723
13,-11.154611713322629,117.0,119.73468744590093
13,-11.154611713322629,117.0,119.73468744590093
13,-11.154611713322629,117.0,119.73468744590093
13,-11.154611713322629,117.0,119.73468744590093
14,-11.271221355396946,116.0,120.27523932278197
14,-11.271221355396946,116.0,120.27523932278197
