frame,marker_id,tx,ty,tz,pitch,yaw,roll
1,2,-0.09281904538771425,-0.05560434052054932,0.19055920222279607,-173.2089358442376,2.191879245306497,146.54499478109722
1,4,-0.08250336251531243,-0.03596517088990665,0.1992037464802225,-114.50176004395462,-14.27598754616697,-37.9483589002509
2,2,-0.09269054760828473,-0.05556776843391718,0.19039617334584932,-173.0453593997331,2.3109236418934898,146.54328527577854
2,4,-0.08248119941990947,-0.03599262501991346,0.19922486931802932,-114.30429262146154,-14.20168803575094,-38.00659065981589
3,2,-0.09281374042901161,-0.05567105078660283,0.19063841331900722,-173.27297537395026,2.2491799115112228,146.51301411585848
3,4,-0.08246491616011856,-0.035999625114077005,0.19923554980537164,-114.55170900068563,-14.188610994389128,-37.93817546252519
4,2,-0.09283213838919964,-0.05580904257559538,0.19088632462409455,-173.1917929373387,2.3414456424740675,146.58607206791964
4,4,-0.08225656092137441,-0.03599448910549908,0.19893933011364387,-114.29940099216638,-14.25304022028739,-38.11245998016948
5,2,-0.09288859607457918,-0.05572899196076609,0.19080487597871293,-173.3185920665984,2.182265166578022,146.53384063566457
5,4,-0.082458075009729,-0.036028681397558895,0.19920552397968455,-114.34591707853396,-14.329117185587998,-38.02581790438216
6,2,-0.09275520625649582,-0.05575497358751007,0.19067509655198833,-173.00311125249854,2.4325164156204795,146.4695415404161
6,4,-0.08236736703783878,-0.03603392971050991,0.1991195152603258,-114.4311554689769,-14.250946502971642,-37.947156237351706
7,2,-0.09247569840684773,-0.056210734836461086,0.1911192609882258,-173.52625266649036,2.1367897507421936,146.80230546088126
7,4,-0.08218387907053744,-0.03645481570735264,0.19977204487678965,-114.8033176875277,-14.282051921508954,-37.773884156056134
8,2,-0.09143281128237973,-0.05667553548329948,0.19081391704641135,-173.46409404439927,2.1712050907183698,147.02649062330394
8,4,-0.08099021535291237,-0.036763119946112616,0.19885604169349258,-114.4295620335056,-14.544952120489432,-37.55142116828018
9,2,-0.09061325163533634,-0.05713356884021155,0.19071677595571815,-173.21332578833395,2.614979908073646,147.21572306137318
9,4,-0.08039768786505642,-0.03720823557132113,0.19903727874755786,-114.59240453425949,-14.438681817517015,-37.16959666224285
10,2,-0.09017822724332704,-0.05766026182407372,0.19111034149728745,-173.61106813385814,2.563019878073081,147.53266173951891
10,4,-0.07963057221790847,-0.03748292836357654,0.19852411707547327,-114.10079122394666,-14.427421100829715,-37.06019171315733
11,2,-0.08839145314599493,-0.058694561803297636,0.19103350378808062,-173.64277402011527,2.9028856252514825,147.9660375900147
11,4,-0.07786997222853854,-0.0383111170442559,0.19795583672766526,-114.21778475992453,-14.519511826260691,-36.30648514531958
12,2,-0.08720345855160092,-0.05928964168321449,0.19085138412896485,-173.86553502680155,2.991806466706819,148.25478982056998
12,4,-0.07710002544096917,-0.038983489313775786,0.19839211875965382,-114.15019866331056,-14.62830988713835,-36.087473139941565
13,2,-0.08604460283622885,-0.05990821319021517,0.19084581288651659,-173.77171076199596,3.071518897887985,148.6870254616912
13,4,-0.07575276175732522,-0.03927771952206982,0.19740051157137806,-113.97577243808539,-14.812030522772455,-35.55138459746453
14,2,-0.08493886769002096,-0.060468777084043156,0.19074465721621317,-173.9407670252989,3.0654677696315495,149.10952350824186
14,4,-0.07483420589299275,-0.0398539042990191,0.19754143459304246,-114.19129512319243,-14.722614714414073,-35.403185492498444
15,2,-0.08422534467112722,-0.06071626526406523,0.1904093045672959,-173.74538945355167,3.410638468468173,149.15884377812785
15,4,-0.0743939740208577,-0.04017439895172305,0.19767696022194298,-114.19249739900582,-14.777248732063645,-35.096528019294105
16,2,-0.08386604089323876,-0.060988005626804974,0.19054375702499995,-173.94605265732415,3.2648235964336814,149.29202084401706
16,4,-0.07387836856557156,-0.04022800973898903,0.19716472661361478,-114.0420827045251,-14.507157783122958,-34.71316695370102
17,2,-0.08269096321457964,-0.061459998130385995,0.19001816687926648,-173.954123738258,3.4575269500103847,149.62340416587864
17,4,-0.0730845794113485,-0.040823539094693544,0.19740115645637663,-114.29601050499105,-14.941021181298803,-34.749820588996094
