frame,marker_id,tx,ty,tz,pitch,yaw,roll
1,2,-0.09281904538701574,-0.05560434054237304,0.19055920222204925,-173.20893584407153,2.191879244834022,146.54499478127997
1,4,-0.082503362513045,-0.03596517091231077,0.19920374647535521,-114.50176003530048,-14.275987541762767,-37.948358899911455
2,2,-0.0926905476075663,-0.05556776845570963,0.19039617334506037,-173.04535939957557,2.3109236413884693,146.54328527596698
2,4,-0.08248119941607979,-0.035992625041639144,0.19922486930942032,-114.30429261169338,-14.201688031435625,-38.00659065966484
3,2,-0.09281374042823813,-0.05567105080839052,0.1906384133181065,-173.27297537371174,2.2491799110208945,146.5130141160318
3,4,-0.08246491615862282,-0.035999625136819736,0.1992355498023494,-114.55170899259376,-14.188610989940516,-37.93817546208172
4,2,-0.09283213846811894,-0.05580904264522835,0.19088632478723094,-173.1917930017181,2.341445669437444,146.58607207057977
4,4,-0.08225656091989045,-0.035994489128210745,0.19893933011064568,-114.29940098412432,-14.253040215808866,-38.112459979711744
5,2,-0.09288859607388816,-0.055728991982622565,0.19080487597798254,-173.31859206642082,2.1822651661266157,146.53384063583954
5,4,-0.08245807489398027,-0.03602868137048261,0.19920552370157282,-114.34591692589059,-14.329117135537427,-38.025817842716386
6,2,-0.09275520625534185,-0.05575497360907258,0.19067509655030418,-173.0031112519924,2.4325164149651375,146.4695415405872
6,4,-0.08236736703636206,-0.03603392973324598,0.19911951525734728,-114.4311554609117,-14.25094649852012,-37.947156236911425
7,2,-0.0924756984065138,-0.05621073485856697,0.19111926098823281,-173.52625266657063,2.136789750434211,146.80230546105437
7,4,-0.08218387906906591,-0.03645481573016013,0.19977204487381214,-114.80331767940905,-14.282051917063196,-37.773884155630554
8,2,-0.09143281120523258,-0.05667553545698694,0.19081391688405153,-173.46409396668747,2.1712049451044013,147.02649063399085
8,4,-0.0809902153514957,-0.03676311996882482,0.19885604169061868,-114.42956202543687,-14.544952116053523,-37.55142116789007
9,2,-0.09061325163467045,-0.05713356886205743,0.19071677595502812,-173.2133257881781,2.614979907565037,147.21572306153854
9,4,-0.08039768786366833,-0.03720823559405769,0.19903727874473431,-114.59240452615975,-14.438681813121217,-37.1695966618735
10,2,-0.0901782272426421,-0.05766026184594947,0.19111034149655587,-173.61106813362073,2.563019877605605,147.53266173965676
10,4,-0.0796305722341723,-0.037482928394534376,0.19852411711623735,-114.10079122909858,-14.427421095422819,-37.06019171051512
11,2,-0.08839145314829959,-0.058694561827131744,0.191033503793804,-173.64277402254928,2.902885625716057,147.96603759024242
11,4,-0.0778699722496506,-0.03831111707785744,0.19795583678197448,-114.2177847963238,-14.519511821938409,-36.30648514917698
12,2,-0.0872034585509199,-0.059289641705041855,0.1908513841282222,-173.86553502649852,2.991806466215002,148.2547898206742
12,4,-0.07710002543974548,-0.03898348933646996,0.19839211875714913,-114.15019865526763,-14.628309882823006,-36.087473139658876
13,2,-0.08604460283731373,-0.05990821321325982,0.19084581288968494,-173.77171076336745,3.0715188979386925,148.6870254618591
13,4,-0.07575276175614434,-0.0392777195446572,0.19740051156895114,-113.97577243003843,-14.812030518521778,-35.55138459725021
