input_angle,euler_angle
0.0,2.1918423155439326
1.0,2.182265166144937
2.0,2.136822230712048
3.0,2.991806466215216
4.0,3.611259371461104
5.0,3.347271854804715
6.0,4.781897541292372
7.0,4.053416522157762
8.0,3.103517778476786
9.0,2.9148768843865795
10.0,2.473807762134806
11.0,2.587689265428097
12.0,1.9338701292668727
13.0,1.8192773309402648
14.0,2.128354491851737
15.0,1.893677436103136
16.0,2.268644111649131
17.0,2.0331063872092927
18.0,1.9810723778825
19.0,2.7209103034420585
20.0,3.460873795594768
21.0,5.072499230023756
22.0,6.03713603690199
23.0,6.471775756352328
24.0,7.8572389454359
25.0,8.986057825084622
26.0,9.1303964975549
27.0,9.227767610561049
28.0,21.79032056075093
29.0,9.914592301812682
30.0,10.564663938577166
31.0,10.778620886830092
32.0,11.078162781269462
33.0,11.22274158661146
34.0,12.459188883268364
35.0,20.92742818780657
36.0,12.941473513401062
37.0,13.06567229671612
38.0,22.753922840802204
39.0,13.092112580751586
40.0,13.63780768232176
41.0,14.157474224225943
42.0,67.94969275142589
43.0,70.14162894914985
44.0,70.41150347398354
45.0,70.8421504690857
46.0,71.48366102221524
47.0,65.62053786775634
48.0,67.14127060259281
49.0,65.16810598860343
50.0,62.88881132596383
51.0,72.67783930512859
52.0,73.14879436433718
53.0,73.11880471880923
54.0,73.1624657042955
55.0,73.09780915777051
56.0,73.38138689714583
57.0,73.9202506061713
58.0,74.04455631042347
59.0,74.62529946917115
60.0,74.61698867765507
61.0,21.15297745220259
62.0,75.53621790203613
63.0,75.98624722269706
64.0,76.13977614447913
65.0,76.68258227125311
66.0,76.92800844458078
67.0,77.61240332036722
68.0,78.21462270908478
69.0,78.88623031988995
70.0,78.66558190533279
71.0,79.52402816940366
72.0,18.009011085809483
73.0,79.23820320152869
74.0,79.06276282208897
75.0,79.94041099108983
76.0,80.78115190877884
77.0,80.95888478944352
78.0,80.46193161919021
79.0,16.144867149461327
80.0,80.90235415743555
81.0,15.958604811262475
82.0,81.61137752938313
83.0,15.479495063719122
84.0,81.9302735444941
85.0,81.98343093852058
86.0,81.89974394069
87.0,82.00460635411494
88.0,82.98311059202565
89.0,82.21808802643092
90.0,81.99211542456442
91.0,82.69707679762674
92.0,14.45008996208174
93.0,14.12026983890344
94.0,14.160197676319791
95.0,14.048449095478624
96.0,14.084226274751318
97.0,83.41630219024299
98.0,83.52532749238186
99.0,13.372641862703029
100.0,83.5075068209038
101.0,83.91320519038123
102.0,13.107167221931231
103.0,12.950208401972894
104.0,13.025472509009392
105.0,13.052043983326897
106.0,13.344333868893967
107.0,13.07551559821104
108.0,12.98397393407134
109.0,13.174790904900954
110.0,12.846185411286156
111.0,12.24158925965308
112.0,12.134307094009811
113.0,84.34972720327744
114.0,12.40583243919187
115.0,12.22499720145002
116.0,11.883072303038936
117.0,85.12412210542197
118.0,85.19758667651304
119.0,85.62550863763182
120.0,85.11927249042924
