frame,marker_id,tx,ty,tz,pitch,yaw,roll
1,2,-0.09281901497498607,-0.05560431950227246,0.1905591392996877,-173.20893091345408,2.1918423155439326,146.54499861474338
1,4,-0.08250334684951308,-0.035965166882858175,0.19920370881257132,-114.50172310234699,-14.275979992752285,-37.948372679514236
2,2,-0.09269050232699556,-0.05556773846941299,0.19039606948464824,-173.04527974194198,2.310926120397999,146.5433012596566
2,4,-0.08248116547379544,-0.035992607848123866,0.19922477463363325,-114.30423909943686,-14.201716250535057,-38.0065814936495
3,2,-0.09281369512605608,-0.05567102079082933,0.19063830940091042,-173.27289513249724,2.2491826555292382,146.5130300012149
3,4,-0.08246487786909218,-0.035999605830814775,0.1992354446775601,-114.55171400775745,-14.188559956595816,-37.9381340333138
4,2,-0.09283216772430422,-0.05580905784048291,0.1908863853070617,-173.19179395627427,2.3414883456864257,146.58606660512643
4,4,-0.08225656091989038,-0.03599448912821071,0.19893933011064552,-114.29940098412426,-14.253040215808802,-38.11245997971168
5,2,-0.09288859607394456,-0.05572899198265632,0.19080487597809845,-173.31859206646683,2.1822651661449375,146.53384063584153
5,4,-0.0824580781494374,-0.03602867798991525,0.19920550565894435,-114.34590810310196,-14.329120218383979,-38.02581930449127
6,2,-0.09275519052868554,-0.05575496146397326,0.19067505464552323,-173.00312638818136,2.432596830387214,146.46952131682616
6,4,-0.08236731330183124,-0.03603390642964292,0.19911937289602222,-114.43112380113543,-14.25088801531742,-37.94712860807649
7,2,-0.092475776074728,-0.05621077617316052,0.19111941151855388,-173.52632334709972,2.1368222307120477,146.80228429802747
7,4,-0.0821839194496094,-0.03645482591437669,0.19977211628646815,-114.80332318026475,-14.28203165018591,-37.773859038895345
8,2,-0.0914328112052326,-0.05667553545698694,0.19081391688405155,-173.4640939666876,2.1712049451042534,147.02649063399087
8,4,-0.08099025212004228,-0.036763131440115095,0.19885611868453182,-114.42962511258257,-14.544953776465377,-37.551459445384566
9,2,-0.09060902593455318,-0.05713015473625856,0.19070628625876035,-173.21116380643883,2.627919362667248,147.21044238349089
9,4,-0.08039770798228499,-0.03720823981638218,0.1990373018528252,-114.59240971635992,-14.438685346565896,-37.169598888674315
10,2,-0.0901782272426421,-0.05766026184594947,0.1911103414965559,-173.61106813362073,2.5630198776057607,147.5326617396567
10,4,-0.07963057846406321,-0.03748292637157707,0.19852410589556566,-114.10072462525883,-14.427503281704325,-37.06022512414332
11,2,-0.08839145314530071,-0.05869456182514544,0.1910335037873175,-173.6427740198514,2.9028856247422223,147.96603759013774
11,4,-0.07786993895210662,-0.038311098022568116,0.19795573883844192,-114.21773199870998,-14.519540324241198,-36.30647697535138
12,2,-0.08720345855091986,-0.05928964170504182,0.19085138412822208,-173.86553502649835,2.9918064662152157,148.25478982067418
12,4,-0.07710002543974093,-0.038983489336467655,0.19839211875713753,-114.15019865526413,-14.628309882823352,-36.08747313965964
13,2,-0.08604456257707338,-0.0599081851079005,0.19084572293852364,-173.7716667103673,3.0714845192484272,148.6870119834432
13,4,-0.07575276175614433,-0.03927771954465718,0.19740051156895105,-113.97577243003846,-14.812030518521844,-35.55138459725026
14,2,-0.08493896444247682,-0.06046883501713932,0.19074485109715825,-173.94087968084287,3.0653957529712508,149.1095425153704
14,4,-0.07483426297809026,-0.0398539317784601,0.1975415704306681,-114.19131611531049,-14.722560990446418,-35.40318318175109
15,2,-0.08422532567020176,-0.060716248370391995,0.19040925111578313,-173.7453976457107,3.4107236338621716,149.15882044131345
15,4,-0.07439397401974601,-0.04017439897435934,0.1976769602196561,-114.19249739094556,-14.77724872783376,-35.09652801909681
16,2,-0.08386601677447786,-0.06098798524057871,0.19054370167600804,-173.94605173078588,3.2647842752162117,149.2920250364612
16,4,-0.07387836856446556,-0.040228009761564675,0.19716472661133197,-114.04208269646179,-14.507157778962188,-34.71316695352027
17,2,-0.08269096321392194,-0.061459998152099134,0.19001816687854098,-173.95412373792837,3.4575269494488485,149.62340416595993
17,4,-0.07308456537292382,-0.04082352857901418,0.19740111854752962,-114.29597348356022,-14.941012977033612,-34.74983529062058
18,2,-0.08194342084056404,-0.06170505704570424,0.18970373237055524,-173.9251994802801,3.6112593714611037,149.7408431343615
