frame,input_angle,rglob_x,rglob_y,rglob_z,tglob_x,tglob_y,tglob_z,marker_id,tx_local,ty_local,tz_local
0,120.0,-2.008802374041198,0.5103713951075893,-0.5631611165143725,-102.84851074515029,-56.509332281281765,226.58154412626106,2,-0.09281904538701574,-0.05560434054237304,0.19055920222204925
0,120.0,-2.008802374041198,0.5103713951075893,-0.5631611165143725,-102.84851074515029,-56.509332281281765,226.58154412626106,4,-0.082503362513045,-0.03596517091231077,0.19920374647535521
0,120.0,-2.008802374041198,0.5103713951075893,-0.5631611165143725,-102.84851074515029,-56.509332281281765,226.58154412626106,9,-0.11366300132988288,-0.03906636666664106,0.2100665652052953
0,120.0,-2.008802374041198,0.5103713951075893,-0.5631611165143725,-102.84851074515029,-56.509332281281765,226.58154412626106,8,-0.07753454404480788,-0.06324134020020643,0.2126914824890938
5,120.0,-2.0017976390484393,0.5065317878943923,-0.5642980082796543,-102.83987517512736,-56.76142678303519,226.6322209851839,2,-0.09275520625534185,-0.05575497360907258,0.19067509655030418
5,120.0,-2.0017976390484393,0.5065317878943923,-0.5642980082796543,-102.83987517512736,-56.76142678303519,226.6322209851839,4,-0.08236736703636206,-0.03603392973324598,0.19911951525734728
5,120.0,-2.0017976390484393,0.5065317878943923,-0.5642980082796543,-102.83987517512736,-56.76142678303519,226.6322209851839,8,-0.07767154251220412,-0.0635419887641345,0.21332198119316897
5,120.0,-2.0017976390484393,0.5065317878943923,-0.5642980082796543,-102.83987517512736,-56.76142678303519,226.6322209851839,9,-0.11361647505337943,-0.03926228160067263,0.21021731037706354
10,120.0,-2.0045521577030647,0.47642630906083794,-0.5571749091394949,-97.80758368424391,-59.56448877658908,225.6570581313793,2,-0.08839145314829959,-0.058694561827131744,0.191033503793804
10,120.0,-2.0045521577030647,0.47642630906083794,-0.5571749091394949,-97.80758368424391,-59.56448877658908,225.6570581313793,4,-0.0778699722496506,-0.03831111707785744,0.19795583678197448
10,120.0,-2.0045521577030647,0.47642630906083794,-0.5571749091394949,-97.80758368424391,-59.56448877658908,225.6570581313793,9,-0.10945663825407499,-0.042575843514942854,0.21005886511289118
10,120.0,-2.0045521577030647,0.47642630906083794,-0.5571749091394949,-97.80758368424391,-59.56448877658908,225.6570581313793,8,-0.07289976517209212,-0.06605493980866571,0.21370614295849144
16,120.0,-2.0039768576413977,0.43862165082905136,-0.5526630986493513,-91.94999037101641,-62.447113444974974,224.0597594423451,2,-0.08269096321392175,-0.061459998152099,0.1900181668785406
16,120.0,-2.0039768576413977,0.43862165082905136,-0.5526630986493513,-91.94999037101641,-62.447113444974974,224.0597594423451,4,-0.07308457941030086,-0.04082353911731582,0.19740115645422593
16,120.0,-2.0039768576413977,0.43862165082905136,-0.5526630986493513,-91.94999037101641,-62.447113444974974,224.0597594423451,9,-0.10363734433378637,-0.0457210419199038,0.2077859417315321
16,120.0,-2.0039768576413977,0.43862165082905136,-0.5526630986493513,-91.94999037101641,-62.447113444974974,224.0597594423451,8,-0.06677778361912598,-0.06806544490856581,0.21222229913544646
21,118.0,-2.0047034780689357,0.38114116007381815,-0.4980468155014619,-80.34495181959818,-68.40733309530772,223.4335092233097,2,-0.07381350661619378,-0.06831070420008134,0.19437351852029028
21,118.0,-2.0047034780689357,0.38114116007381815,-0.4980468155014619,-80.34495181959818,-68.40733309530772,223.4335092233097,4,-0.06413090223573337,-0.04600130172439248,0.19889520479590544
21,118.0,-2.0047034780689357,0.38114116007381815,-0.4980468155014619,-80.34495181959818,-68.40733309530772,223.4335092233097,9,-0.09491498864344124,-0.053217722174867636,0.2108266759295238
21,118.0,-2.0047034780689357,0.38114116007381815,-0.4980468155014619,-80.34495181959818,-68.40733309530772,223.4335092233097,8,-0.05652452681194424,-0.07425319302317147,0.21717437114662658
26,115.0,-2.0130659135577003,0.319796233588805,-0.4229721092106054,-65.95315114244947,-73.65361499989488,221.52290556934707,2,-0.0595092907238362,-0.07193582204282709,0.1898630088230253
26,115.0,-2.0130659135577003,0.319796233588805,-0.4229721092106054,-65.95315114244947,-73.65361499989488,221.52290556934707,4,-0.051613711574918536,-0.04954349161682907,0.19459629598041903
26,115.0,-2.0130659135577003,0.319796233588805,-0.4229721092106054,-65.95315114244947,-73.65361499989488,221.52290556934707,9,-0.08076035422156619,-0.058810541978962995,0.20641858977083682
26,115.0,-2.0130659135577003,0.319796233588805,-0.4229721092106054,-65.95315114244947,-73.65361499989488,221.52290556934707,8,-0.04142952748486492,-0.07639800447889072,0.21166991416684322
32,110.0,-2.0248302316790503,0.29315085797361706,-0.36358047765680274,-57.97404698992833,-76.4820530418921,222.14132209436366,2,-0.05277587591719307,-0.07483025976221828,0.19116717679428236
32,110.0,-2.0248302316790503,0.29315085797361706,-0.36358047765680274,-57.97404698992833,-76.4820530418921,222.14132209436366,4,-0.04564406453672563,-0.05211511445883823,0.1960427243894975
32,110.0,-2.0248302316790503,0.29315085797361706,-0.36358047765680274,-57.97404698992833,-76.4820530418921,222.14132209436366,9,-0.07413962269043868,-0.06249102394378459,0.20810088827255063
32,110.0,-2.0248302316790503,0.29315085797361706,-0.36358047765680274,-57.97404698992833,-76.4820530418921,222.14132209436366,8,-0.03405204732195138,-0.07911008330410631,0.21433213783222912
37,113.0,-2.0404591608759115,0.21811027053179086,-0.3165142657619356,-42.76163025297753,-80.87195914819314,222.44800008909795,2,-0.038648445458853035,-0.08008377217984097,0.19400727977616655
37,113.0,-2.0404591608759115,0.21811027053179086,-0.3165142657619356,-42.76163025297753,-80.87195914819314,222.44800008909795,4,-0.033009806257588634,-0.0561699947495423,0.19753949168600266
37,113.0,-2.0404591608759115,0.21811027053179086,-0.3165142657619356,-42.76163025297753,-80.87195914819314,222.44800008909795,9,-0.06026896035668963,-0.0686550056322113,0.20910939908840573
37,113.0,-2.0404591608759115,0.21811027053179086,-0.3165142657619356,-42.76163025297753,-80.87195914819314,222.44800008909795,8,-0.018873445673414778,-0.08237549241219659,0.2163676248326776
42,105.0,-2.029292634768253,0.16726805137987777,-0.27984760985964274,-31.962337204550703,-83.29839500656146,221.5542837373208,2,-0.02785414372251459,-0.08124332238039715,0.1913535265199884
42,105.0,-2.029292634768253,0.16726805137987777,-0.27984760985964274,-31.962337204550703,-83.29839500656146,221.5542837373208,4,-0.023652612883652193,-0.057347641695483946,0.1948154981530148
