frame,yaw,input_angle,pred_angle
1,-10.361512278698466,120.0,116.05822141519187
1,-10.361512278698466,120.0,116.05822141519187
1,-10.361512278698466,120.0,116.05822141519187
1,-10.361512278698466,120.0,116.05822141519187
2,-10.342570824779424,120.0,115.97041702539477
2,-10.342570824779424,120.0,115.97041702539477
2,-10.342570824779424,120.0,115.97041702539477
2,-10.342570824779424,120.0,115.97041702539477
3,-10.320186095932542,119.0,115.86665110195644
3,-10.320186095932542,119.0,115.86665110195644
3,-10.320186095932542,119.0,115.86665110195644
3,-10.320186095932542,119.0,115.86665110195644
4,-10.3106447681577,119.0,115.82242163220693
4,-10.3106447681577,119.0,115.82242163220693
4,-10.3106447681577,119.0,115.82242163220693
4,-10.3106447681577,119.0,115.82242163220693
5,-10.241043483544116,119.0,115.49978017338805
5,-10.241043483544116,119.0,115.49978017338805
5,-10.241043483544116,119.0,115.49978017338805
5,-10.241043483544116,119.0,115.49978017338805
6,-10.385478463319904,119.0,116.16931828375562
6,-10.385478463319904,119.0,116.16931828375562
6,-10.385478463319904,119.0,116.16931828375562
6,-10.385478463319904,119.0,116.16931828375562
7,-10.279835885158212,118.0,115.67960497284896
7,-10.279835885158212,118.0,115.67960497284896
7,-10.279835885158212,118.0,115.67960497284896
7,-10.279835885158212,118.0,115.67960497284896
8,-10.411465442274809,118.0,116.28978268102723
8,-10.411465442274809,118.0,116.28978268102723
8,-10.411465442274809,118.0,116.28978268102723
8,-10.411465442274809,118.0,116.28978268102723
9,-10.516854928002832,118.0,116.77832276485239
9,-10.516854928002832,118.0,116.77832276485239
9,-10.516854928002832,118.0,116.77832276485239
9,-10.516854928002832,118.0,116.77832276485239
10,-10.66331190171892,117.0,117.45723396478638
10,-10.66331190171892,117.0,117.45723396478638
10,-10.66331190171892,117.0,117.45723396478638
10,-10.66331190171892,117.0,117.45723396478638
11,-10.804012588460578,117.0,118.10946150741259
11,-10.804012588460578,117.0,118.10946150741259
11,-10.804012588460578,117.0,118.10946150741259
11,-10.804012588460578,117.0,118.10946150741259
12,-10.946125288320085,117.0,118.76823453227729
12,-10.946125288320085,117.0,118.76823453227729
12,-10.946125288320085,117.0,118.76823453227729
12,-10.946125288320085,117.0,118.76823453227729
13,-11.154611713322629,117.0,119.73468744590099
13,-11.154611713322629,117.0,119.73468744590099
13,-11.154611713322629,117.0,119.73468744590099
13,-11.154611713322629,117.0,119.73468744590099
14,-11.271221355396946,116.0,120.27523932278203
14,-11.271221355396946,116.0,120.27523932278203
14,-11.271221355396946,116.0,120.27523932278203
14,-11.271221355396946,116.0,120.27523932278203
15,-11.262131762645192,116.0,120.23310390126247
15,-11.262131762645192,116.0,120.23310390126247
15,-11.262131762645192,116.0,120.23310390126247
15,-11.262131762645192,116.0,120.23310390126247
16,-11.364981765666151,116.0,120.70987204136848
16,-11.364981765666151,116.0,120.70987204136848
16,-11.364981765666151,116.0,120.70987204136848
16,-11.364981765666151,116.0,120.70987204136848
17,-11.4670141484724,116.0,121.18285004771046
17,-11.4670141484724,116.0,121.18285004771046
17,-11.4670141484724,116.0,121.18285004771046
17,-11.4670141484724,116.0,121.18285004771046
18,-11.325969003281614,116.0,120.52902574466314
18,-11.325969003281614,116.0,120.52902574466314
18,-11.325969003281614,116.0,120.52902574466314
18,-11.325969003281614,116.0,120.52902574466314
19,-11.330266290980266,116.0,120.54894611222181
19,-11.330266290980266,116.0,120.54894611222181
19,-11.330266290980266,116.0,120.54894611222181
19,-11.330266290980266,116.0,120.54894611222181
20,-11.226463851593916,116.0,120.06776288897376
20,-11.226463851593916,116.0,120.06776288897376
20,-11.226463851593916,116.0,120.06776288897376
20,-11.226463851593916,116.0,120.06776288897376
21,-10.941512715659776,115.0,118.74685263997037
21,-10.941512715659776,115.0,118.74685263997037
21,-10.941512715659776,115.0,118.74685263997037
21,-10.941512715659776,115.0,118.74685263997037
22,-10.605830780968464,115.0,117.19077634469454
22,-10.605830780968464,115.0,117.19077634469454
22,-10.605830780968464,115.0,117.19077634469454
22,-10.605830780968464,115.0,117.19077634469454
23,-10.368487174023594,115.0,116.09055401386877
23,-10.368487174023594,115.0,116.09055401386877
23,-10.368487174023594,115.0,116.09055401386877
23,-10.368487174023594,115.0,116.09055401386877
24,-10.251310756845012,114.0,115.54737481268651
24,-10.251310756845012,114.0,115.54737481268651
24,-10.251310756845012,114.0,115.54737481268651
24,-10.251310756845012,114.0,115.54737481268651
25,-9.59972866014044,113.0,112.52692196633217
25,-9.59972866014044,113.0,112.52692196633217
25,-9.59972866014044,113.0,112.52692196633217
25,-9.59972866014044,113.0,112.52692196633217
26,-9.321989803073109,112.0,111.23944472345667
26,-9.321989803073109,112.0,111.23944472345667
26,-9.321989803073109,112.0,111.23944472345667
26,-9.321989803073109,112.0,111.23944472345667
27,-9.12317617344325,111.0,110.3178307065175
27,-9.12317617344325,111.0,110.3178307065175
27,-9.12317617344325,111.0,110.3178307065175
27,-9.12317617344325,111.0,110.3178307065175
28,-8.674677093806359,110.0,108.23878291111626
28,-8.674677093806359,110.0,108.23878291111626
28,-8.674677093806359,110.0,108.23878291111626
28,-8.674677093806359,110.0,108.23878291111626
29,-8.091828398573453,109.0,105.53694839262066
29,-8.091828398573453,109.0,105.53694839262066
29,-8.091828398573453,109.0,105.53694839262066
29,-8.091828398573453,109.0,105.53694839262066
30,-7.909815854183176,109.0,104.69321694180844
30,-7.909815854183176,109.0,104.69321694180844
