frame,marker_id,tx,ty,tz,pitch,yaw,roll
1,2,-0.09281901497498607,-0.05560431950227246,0.1905591392996877,-173.20893091345408,2.1918423155439326,146.54499861474338
1,4,-0.08250334684951308,-0.035965166882858175,0.19920370881257132,-114.50172310234699,-14.275979992752285,-37.948372679514236
1,9,-0.11366301688276916,-0.039066365022687816,0.21006657362700779,160.73082541158104,45.06971357794065,-76.16963299652731
1,8,-0.07753451070481578,-0.06324131003400879,0.2126913912210122,136.7111045445592,-63.45240764825133,32.79423034815572
2,2,-0.09269050232699556,-0.05556773846941299,0.19039606948464824,-173.04527974194198,2.310926120397999,146.5433012596566
2,4,-0.08248116547379544,-0.035992607848123866,0.19922477463363325,-114.30423909943686,-14.201716250535057,-38.0065814936495
2,9,-0.11382412937239691,-0.03917714849972146,0.21043542644842356,161.07987563406402,45.30975835829695,-75.6643408407939
2,8,-0.07754621305235535,-0.06330936314163722,0.2128016733774796,136.9358648027266,-63.53194385889316,32.57013913074357
3,2,-0.09281369512605608,-0.05567102079082933,0.19063830940091042,-173.27289513249724,2.2491826555292382,146.5130300012149
3,4,-0.08246487786909218,-0.035999605830814775,0.1992354446775601,-114.55171400775745,-14.188559956595816,-37.9381340333138
3,9,-0.11404826430679793,-0.039286253618257785,0.2108867405752265,161.30473934066026,45.50946026413618,-75.43845373895654
3,8,-0.07773414927253615,-0.06345215806584295,0.21337140775361607,137.35406837700128,-63.587797904165726,32.294991471098214
4,2,-0.09283216772430422,-0.05580905784048291,0.1908863853070617,-173.19179395627427,2.3414883456864257,146.58606660512643
4,4,-0.08225656091989038,-0.03599448912821071,0.19893933011064552,-114.29940098412426,-14.253040215808802,-38.11245997971168
4,9,-0.1132938467786263,-0.039088271812568166,0.20974589216622017,160.81175809853528,45.13964052268823,-75.98936564795311
4,8,-0.07736194688884308,-0.0633158976235101,0.21250561499192205,137.0008769366989,-63.56836188784747,32.66502882037736
5,2,-0.09288859607394456,-0.05572899198265632,0.19080487597809845,-173.31859206646683,2.1822651661449375,146.53384063584153
5,4,-0.0824580781494374,-0.03602867798991525,0.19920550565894435,-114.34590810310196,-14.329120218383979,-38.02581930449127
5,8,-0.07761190989403047,-0.0634444680035205,0.21308923734156462,137.60275303419698,-63.604424807106206,32.14615637076191
5,9,-0.11403029877835369,-0.039314603036208526,0.21090273717576338,161.1085440359186,45.47422087992744,-75.81599206433035
6,2,-0.09275519052868554,-0.05575496146397326,0.19067505464552323,-173.00312638818136,2.432596830387214,146.46952131682616
6,4,-0.08236731330183124,-0.03603390642964292,0.19911937289602222,-114.43112380113543,-14.25088801531742,-37.94712860807649
6,8,-0.0776715424708571,-0.06354198873078569,0.21332198108077707,137.4899932010983,-63.540363375934426,32.13975692193907
6,9,-0.11361647149664353,-0.03926227745290971,0.2102173036001916,162.14659603503532,45.835810122229816,-74.78522528636897
7,2,-0.092475776074728,-0.05621077617316052,0.19111941151855388,-173.52632334709972,2.1368222307120477,146.80228429802747
7,4,-0.0821839194496094,-0.03645482591437669,0.19977211628646815,-114.80332318026475,-14.28203165018591,-37.773859038895345
7,9,-0.11296055843997913,-0.0395236119147688,0.20992577561690595,160.75105661240408,45.192154472654614,-75.88584427702412
7,8,-0.07712447907846195,-0.06391087171912394,0.21347287617645924,137.23454102856397,-63.62678720506666,32.43780054914297
8,2,-0.0914328112052326,-0.05667553545698694,0.19081391688405155,-173.4640939666876,2.1712049451042534,147.02649063399087
8,4,-0.08099025212004228,-0.036763131440115095,0.19885611868453182,-114.42962511258257,-14.544953776465377,-37.551459445384566
8,9,-0.11237052224427345,-0.04028715271732217,0.21026737827115458,161.17127858095992,45.449082006679824,-75.60005278404512
8,8,-0.07620689320468244,-0.06435716967516823,0.2135311468687204,137.33048465754652,-63.612275820684324,32.879377183251556
9,2,-0.09060902593455318,-0.05713015473625856,0.19070628625876035,-173.21116380643883,2.627919362667248,147.21044238349089
9,4,-0.08039770798228499,-0.03720823981638218,0.1990373018528252,-114.59240971635992,-14.438685346565896,-37.169598888674315
9,8,-0.07522877413493206,-0.06460553733293639,0.21314988330974943,136.64863408697263,-63.61270638775329,33.57788926299708
9,9,-0.11152909356068029,-0.0408031258064132,0.21000144765039902,161.435330547962,45.35169251721151,-75.06724088482636
