frame,input_angle,rglob_x,rglob_y,rglob_z,tglob_x,tglob_y,tglob_z,marker_id,rloc_x,rloc_y,rloc_z,tx_local,ty_local,tz_local
0,120.0,-2.008802374041198,0.5103713951075893,-0.5631611165143725,-102.84851074515029,-56.509332281281765,226.58154412626106,2,0.9051548054008308,2.9994295468629963,-0.19527549939157834,-0.09281904538701574,-0.05560434054237304,0.19055920222204925
0,120.0,-2.008802374041198,0.5103713951075893,-0.5631611165143725,-102.84851074515029,-56.509332281281765,226.58154412626106,4,-1.9842962788904746,0.508338822373157,-0.6687935352439661,-0.082503362513045,-0.03596517091231077,0.19920374647535521
0,120.0,-2.008802374041198,0.5103713951075893,-0.5631611165143725,-102.84851074515029,-56.509332281281765,226.58154412626106,9,2.5607937601477513,-1.7309020483691762,-1.3298119085707072,-0.11366300132988288,-0.03906636666664106,0.2100665652052953
0,120.0,-2.008802374041198,0.5103713951075893,-0.5631611165143725,-102.84851074515029,-56.509332281281765,226.58154412626106,8,2.3194760034826873,0.10584153990757414,1.5900583660144183,-0.07753454404480788,-0.06324134020020643,0.2126914824890938
1,120.0,-2.0052170223858146,0.5087514343969929,-0.5631584302493873,-102.87127141078427,-56.612524059054685,226.64102052894978,2,0.9050410224255929,2.9979092272104086,-0.20041597502603303,-0.0926905476075663,-0.05556776845570963,0.19039617334506037
1,120.0,-2.0052170223858146,0.5087514343969929,-0.5631584302493873,-102.87127141078427,-56.612524059054685,226.64102052894978,4,-1.9806219001775598,0.5087213636061511,-0.6686063106651529,-0.08248119941607979,-0.035992625041639144,0.19922486930942032
1,120.0,-2.0052170223858146,0.5087514343969929,-0.5631584302493873,-102.87127141078427,-56.612524059054685,226.64102052894978,9,2.5691800496581023,-1.7234121032702636,-1.332799176013708,-0.11382417691082752,-0.039177169945683814,0.21043552447679692
1,120.0,-2.0052170223858146,0.5087514343969929,-0.5631584302493873,-102.87127141078427,-56.612524059054685,226.64102052894978,8,2.3208464153372574,0.10360267530940598,1.5910343093080248,-0.07754621305235522,-0.06330936314163713,0.21280167337747927
2,120.0,-2.00541063665124,0.5084109117651069,-0.5623474351550345,-102.8546340308384,-56.63161096239468,226.65769699015658,2,0.9057107954352742,2.9980441587799076,-0.1939733774538991,-0.09281374042823813,-0.05567105080839052,0.1906384133181065
2,120.0,-2.00541063665124,0.5084109117651069,-0.5623474351550345,-102.8546340308384,-56.63161096239468,226.65769699015658,4,-1.9847701212664963,0.5094802268051756,-0.6670587179468704,-0.08246491615862282,-0.035999625136819736,0.1992355498023494
2,120.0,-2.00541063665124,0.5084109117651069,-0.5623474351550345,-102.8546340308384,-56.63161096239468,226.65769699015658,9,2.5738277957981643,-1.7210525158098489,-1.3358927275338006,-0.11404826840631858,-0.03928625795879135,0.21088674835251744
2,120.0,-2.00541063665124,0.5084109117651069,-0.5623474351550345,-102.8546340308384,-56.63161096239468,226.65769699015658,8,2.3245921066407464,0.10333332736299732,1.592144721438376,-0.07773414927253615,-0.06345215806584292,0.21337140775361602
3,119.0,-2.0075440411666245,0.5111772074917738,-0.5628046423249056,-102.73212021603094,-56.64802761771666,226.65393011058333,2,0.9035847884043887,2.9972384540009234,-0.19674027222011778,-0.09283213846811894,-0.05580904264522835,0.19088632478723094
3,119.0,-2.0075440411666245,0.5111772074917738,-0.5628046423249056,-102.73212021603094,-56.64802761771666,226.65393011058333,4,-1.980509699548008,0.5100110294967966,-0.6706498323646014,-0.08225656091989045,-0.035994489128210745,0.19893933011064568
3,119.0,-2.0075440411666245,0.5111772074917738,-0.5628046423249056,-102.73212021603094,-56.64802761771666,226.65393011058333,9,-2.222396472982619,1.4976641586847197,1.1538368238222576,-0.11329384677862625,-0.039088271812568146,0.20974589216622003
3,119.0,-2.0075440411666245,0.5111772074917738,-0.5628046423249056,-102.73212021603094,-56.64802761771666,226.65393011058333,8,2.3220266377136216,0.10609311357896567,1.5929244109477343,-0.07736191218007316,-0.06331587212741614,0.21250552007658952
4,119.0,-2.005040235572547,0.5094469497393974,-0.5610823451180333,-102.82901314141812,-56.67822142122611,226.66144761114438,2,0.9053201601490026,2.999174294703002,-0.19230702020487273,-0.09288859607388816,-0.055728991982622565,0.19080487597798254
4,119.0,-2.005040235572547,0.5094469497393974,-0.5610823451180333,-102.82901314141812,-56.67822142122611,226.66144761114438,4,-1.9817923458827833,0.507981829315551,-0.6709118656828024,-0.08245807489398027,-0.03602868137048261,0.19920552370157282
4,119.0,-2.005040235572547,0.5094469497393974,-0.5610823451180333,-102.82901314141812,-56.67822142122611,226.66144761114438,8,2.3269765710565324,0.10365235978252733,1.5925920815531187,-0.07761191293237224,-0.0634444734391851,0.21308924569279655
4,119.0,-2.005040235572547,0.5094469497393974,-0.5610823451180333,-102.82901314141812,-56.67822142122611,226.66144761114438,9,2.568689346658435,-1.727373661381598,-1.336672815377972,-0.11403024649147982,-0.039314598617778106,0.21090265123299834
5,119.0,-2.0017976390484393,0.5065317878943923,-0.5642980082796543,-102.83987517512736,-56.76142678303519,226.6322209851839,2,0.9066474750154271,2.995478048741804,-0.20236765038315954,-0.09275520625534185,-0.05575497360907258,0.19067509655030418
5,119.0,-2.0017976390484393,0.5065317878943923,-0.5642980082796543,-102.83987517512736,-56.76142678303519,226.6322209851839,4,-1.983040653368323,0.5080659941819569,-0.6685137795618827,-0.08236736703636206,-0.03603392973324598,0.19911951525734728
5,119.0,-2.0017976390484393,0.5065317878943923,-0.5642980082796543,-102.83987517512736,-56.76142678303519,226.6322209851839,8,2.3257875824852072,0.1025851882876484,1.5906037156357655,-0.07767154251220412,-0.0635419887641345,0.21332198119316897
5,119.0,-2.0017976390484393,0.5065317878943923,-0.5642980082796543,-102.83987517512736,-56.76142678303519,226.6322209851839,9,2.587951229090071,-1.7189925043991605,-1.3369904577960805,-0.11361647505337943,-0.03926228160067263,0.21021731037706354
6,119.0,-2.007654871506256,0.5077159458292535,-0.5601356699616201,-102.13633942518545,-56.99375921159864,226.48705153448296,2,0.8980588597755499,3.001134303842514,-0.18646937665933438,-0.0924756984065138,-0.05621073485856697,0.19111926098823281
6,119.0,-2.007654871506256,0.5077159458292535,-0.5601356699616201,-102.13633942518545,-56.99375921159864,226.48705153448296,4,-1.9896565505177193,0.507391843225183,-0.6663096005679122,-0.08218387906906591,-0.03645481573016013,0.19977204487381214
